Modelo,R²,MAE,RMSE,Tempo Treino,CPU (%),RAM (MB),Melhor Config
MLP,-0.28904911319676696,0.832681541458606,0.9878301154148103,2.3277719020843506,1.6895,2166.546875,"{'solver': 'adam', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50,), 'alpha': 0.01, 'activation': 'tanh'}"
GradientBoosting,-1.0596153959651202,0.5823075179298327,1.2486496354082828,0.449084997177124,8.3875,2165.203125,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7}"
RandomForest,-2.7030902660151623,0.6882236376198033,1.6742861286132196,0.5630369186401367,3.006,2130.703125,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}"
KNN,-5.250975310243468,0.6176630351681066,2.1753113291150936,0.1140127182006836,9.39,2099.6875,"{'weights': 'distance', 'n_neighbors': np.int64(19), 'metric': 'euclidean'}"
DecisionTree,-167.33777930481511,0.8065346534653465,11.288554310266731,0.11528706550598145,9.98,2102.28125,"{'min_samples_split': np.int64(8), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(10), 'criterion': 'absolute_error'}"
